"","close","high","low","open","volumefrom","volumeto","CTime","from_sym","to_sym","LastTime"
"127",0.001433,0.001433,0.001431,0.001431,9466.91,13.53,2018-10-29 14:30:00,"ETC","BTC",2018-10-29 14:28:00
"128",0.00143,0.001433,0.001429,0.001432,5334.88,7.62,2018-10-29 14:31:00,"ETC","BTC",2018-10-29 14:28:00
"129",0.001429,0.001432,0.001429,0.001429,6185.71,8.85,2018-10-29 14:32:00,"ETC","BTC",2018-10-29 14:28:00
"130",0.001431,0.001432,0.001428,0.00143,7316.65,10.45,2018-10-29 14:33:00,"ETC","BTC",2018-10-29 14:28:00
"131",0.001431,0.001431,0.001431,0.001431,0,0,2018-10-29 14:34:00,"ETC","BTC",2018-10-29 14:28:00
"132",0.001431,0.001431,0.001431,0.001431,0,0,2018-10-29 14:35:00,"ETC","BTC",2018-10-29 14:28:00
"133",0.0669,0.0669,0.0669,0.0669,0,0,2018-10-29 14:29:00,"BCC","BTC",2018-10-29 14:28:00
"134",0.0669,0.0669,0.0669,0.0669,0,0,2018-10-29 14:30:00,"BCC","BTC",2018-10-29 14:28:00
"135",0.0669,0.0669,0.0669,0.0669,0,0,2018-10-29 14:31:00,"BCC","BTC",2018-10-29 14:28:00
"136",0.0669,0.0669,0.0669,0.0669,0,0,2018-10-29 14:32:00,"BCC","BTC",2018-10-29 14:28:00
"137",0.0669,0.0669,0.0669,0.0669,0,0,2018-10-29 14:33:00,"BCC","BTC",2018-10-29 14:28:00
"138",0.0669,0.0669,0.0669,0.0669,0,0,2018-10-29 14:34:00,"BCC","BTC",2018-10-29 14:28:00
"139",0.0669,0.0669,0.0669,0.0669,0,0,2018-10-29 14:35:00,"BCC","BTC",2018-10-29 14:28:00
"140",0.01081,0.01081,0.01069,0.01069,735551.93,7951.32,2018-10-29 14:29:00,"VET","USD",2018-10-29 14:28:00
"141",0.01074,0.01074,0.01068,0.01068,167790.84,1802.07,2018-10-29 14:30:00,"VET","USD",2018-10-29 14:28:00
"142",0.01074,0.01074,0.01068,0.01068,391826.67,4208.22,2018-10-29 14:31:00,"VET","USD",2018-10-29 14:28:00
"143",0.01073,0.01073,0.01073,0.01073,0,0,2018-10-29 14:32:00,"VET","USD",2018-10-29 14:28:00
"144",0.01072,0.01072,0.01072,0.01072,0,0,2018-10-29 14:33:00,"VET","USD",2018-10-29 14:28:00
"145",0.01072,0.01072,0.01072,0.01072,0,0,2018-10-29 14:34:00,"VET","USD",2018-10-29 14:28:00
"146",0.01065,0.01072,0.01065,0.01072,0,0,2018-10-29 14:35:00,"VET","USD",2018-10-29 14:28:00
"147",0.0002978,0.0002991,0.0002966,0.0002991,2074.62,0.6174,2018-10-29 14:29:00,"NANO","BTC",2018-10-29 14:28:00
"148",0.0002978,0.000299,0.0002966,0.0002974,6804.84,2.03,2018-10-29 14:30:00,"NANO","BTC",2018-10-29 14:28:00
"149",0.0002968,0.0002978,0.0002959,0.0002978,1918.74,0.5693,2018-10-29 14:31:00,"NANO","BTC",2018-10-29 14:28:00
"150",0.0002968,0.0002968,0.0002968,0.0002968,0,0,2018-10-29 14:32:00,"NANO","BTC",2018-10-29 14:28:00
"151",0.0002968,0.0002968,0.0002968,0.0002968,0,0,2018-10-29 14:33:00,"NANO","BTC",2018-10-29 14:28:00
"152",0.0002968,0.0002968,0.0002968,0.0002968,0,0,2018-10-29 14:34:00,"NANO","BTC",2018-10-29 14:28:00
"153",0.0002959,0.0002968,0.0002959,0.0002968,0,0,2018-10-29 14:35:00,"NANO","BTC",2018-10-29 14:28:00
"154",0.0002645,0.0002649,0.0002645,0.0002649,3342.14,0.883,2018-10-29 14:29:00,"ONT","BTC",2018-10-29 14:28:00
"155",0.0002643,0.000265,0.0002641,0.0002645,2971.92,0.7848,2018-10-29 14:30:00,"ONT","BTC",2018-10-29 14:28:00
"156",0.0002632,0.0002643,0.0002631,0.0002643,10702.25,2.82,2018-10-29 14:31:00,"ONT","BTC",2018-10-29 14:28:00
"157",0.0002632,0.0002632,0.0002632,0.0002632,0,0,2018-10-29 14:32:00,"ONT","BTC",2018-10-29 14:28:00
"158",0.0002632,0.0002632,0.0002632,0.0002632,0,0,2018-10-29 14:33:00,"ONT","BTC",2018-10-29 14:28:00
"159",0.0002632,0.0002632,0.0002632,0.0002632,0,0,2018-10-29 14:34:00,"ONT","BTC",2018-10-29 14:28:00
"160",0.000261,0.0002632,0.000261,0.0002632,0,0,2018-10-29 14:35:00,"ONT","BTC",2018-10-29 14:28:00
"161",0.4628,0.4628,0.4628,0.4628,0,0,2018-10-29 14:29:00,"IOTA","USD",2018-10-29 14:28:00
"162",0.4625,0.4625,0.4625,0.4625,0,0,2018-10-29 14:30:00,"IOTA","USD",2018-10-29 14:28:00
"163",0.4624,0.4624,0.4624,0.4624,0,0,2018-10-29 14:31:00,"IOTA","USD",2018-10-29 14:28:00
"164",0.4618,0.4618,0.4618,0.4618,0,0,2018-10-29 14:32:00,"IOTA","USD",2018-10-29 14:28:00
"165",0.4615,0.4615,0.4615,0.4615,0,0,2018-10-29 14:33:00,"IOTA","USD",2018-10-29 14:28:00
"166",0.4615,0.4615,0.4615,0.4615,0,0,2018-10-29 14:34:00,"IOTA","USD",2018-10-29 14:28:00
